Ensembl Gene ID,Associated Gene Name
ENSG00000110104,CCDC86
ENSG00000121236,TRIM6
ENSG00000140807,NKD1
ENSG00000163938,GNL3
ENSG00000100926,TM9SF1
ENSG00000114107,CEP70
ENSG00000103404,USP31
ENSG00000107779,BMPR1A
ENSG00000102265,TIMP1
ENSG00000150977,RILPL2
ENSG00000171421,MRPL36
ENSG00000147604,RPL7
ENSG00000061676,NCKAP1
ENSG00000109079,TNFAIP1
ENSG00000138750,NUP54
ENSG00000278259,MYO19
ENSG00000102181,CD99L2
ENSG00000241973,PI4KA
ENSG00000231617,DAXX
ENSG00000154309,DISP1
ENSG00000214107,MAGEB1
ENSG00000275003,DDT
ENSG00000165280,VCP
ENSG00000143379,SETDB1
ENSG00000109184,DCUN1D4
ENSG00000144554,FANCD2
ENSG00000158473,CD1D
ENSG00000231135,MDC1
ENSG00000162576,MXRA8
ENSG00000163607,GTPBP8
ENSG00000182968,SOX1
ENSG00000108654,DDX5
ENSG00000166908,PIP4K2C
ENSG00000144579,CTDSP1
ENSG00000003137,CYP26B1
ENSG00000140941,MAP1LC3B
ENSG00000170468,C14orf169
ENSG00000148335,NTMT1
ENSG00000033178,UBA6
ENSG00000176973,FAM89B
ENSG00000109066,TMEM104
ENSG00000144339,TMEFF2
ENSG00000132938,MTUS2
ENSG00000188677,PARVB
ENSG00000276780,NLRP10
ENSG00000111875,ASF1A
ENSG00000223590,MUC21
ENSG00000043355,ZIC2
ENSG00000181915,ADO
ENSG00000100297,MCM5
ENSG00000170276,HSPB2
ENSG00000186280,KDM4D
ENSG00000226257,STK19
ENSG00000086205,FOLH1
ENSG00000147454,SLC25A37
ENSG00000141562,NARF
ENSG00000073910,FRY
ENSG00000196975,ANXA4
ENSG00000154114,TBCEL
ENSG00000128652,HOXD3
ENSG00000105880,DLX5
ENSG00000102893,PHKB
ENSG00000186063,AIDA
ENSG00000066405,CLDN18
ENSG00000166676,TVP23A
ENSG00000116675,DNAJC6
ENSG00000167081,PBX3
ENSG00000081791,KIAA0141
ENSG00000173221,GLRX
ENSG00000140367,UBE2Q2
ENSG00000234154,HLA-DMB
ENSG00000087302,C14orf166
ENSG00000184500,PROS1
ENSG00000167088,SNRPD1
ENSG00000021826,CPS1
ENSG00000161103,AC008132.13
ENSG00000166501,PRKCB
ENSG00000176986,SEC24C
ENSG00000143727,ACP1
ENSG00000111859,NEDD9
ENSG00000213965,NUDT19
ENSG00000120658,ENOX1
ENSG00000134759,ELP2
