miRNA,Target gene
hsa-let-7,HMGA2
hsa-let-7,NRAS
hsa-let-7,KRAS
hsa-let-7,IGF1R
hsa-let-7,SOCS4
hsa-let-7a-1,c-MYC
hsa-let-7a-1,CSN6
hsa-let-7a-1,CSN8
hsa-let-7a-1,CSN1
hsa-let-7a-1,STAT-1
hsa-let-7e-3p,CSN6
hsa-let-7e-3p,CSN8
hsa-let-7e-3p,CSN1
hsa-miR-103,GPD1
hsa-miR-103,DLK1
hsa-miR-103,ERalpha
hsa-miR-103-1,FBXW11
hsa-miR-1-1,EGFL7
hsa-miR-1-1,PIK3R2
hsa-miR-1-1,RGS3
hsa-miR-1-1,VEGFA
hsa-miR-1-1,V-CRK
hsa-miR-1231,ERalpha
hsa-miR-124a,VAMP3
hsa-miR-124a,BACE1
hsa-miR-124a,CTDSP1
hsa-miR-126-3p,PGR
hsa-miR-128a,HOXA10
hsa-miR-132/mir-212,CCNB2
hsa-miR-132/mir-212,KIF11
hsa-miR-132/mir-212,CCNE2
hsa-miR-132/mir-212,MCM3
hsa-miR-132/mir-212,PCNA
hsa-miR-132/mir-212,CDC2
hsa-miR-132/mir-212,CDC20
hsa-miR-132/mir-212,MCM2
hsa-miR-132/mir-212,FOXM1
hsa-miR-132/mir-212,MCM4
hsa-miR-132/mir-212,CDC45L
hsa-miR-132/mir-212,RRM2
hsa-miR-132/mir-212,CDCB
hsa-miR-132/mir-212,NDC20
hsa-miR-132/mir-212,MKI87
hsa-miR-139,HOXA10
hsa-miR-146a/b,IRAK1
hsa-miR-146a/b,TRAF6
hsa-miR-146b,EGFR
hsa-miR-146b-3p,ERalpha
hsa-miR-148,DNMT3B
hsa-miR-17/20,CDK4
hsa-miR-17/20,CDK6
hsa-miR-17/20,CCND1
hsa-miR-17/20,CCNE
hsa-miR-17~92,Bim
hsa-miR-17-19b-1,BCL2
hsa-miR-17-19b-1,CCNG2
hsa-miR-17-19b-1,FAM46C
hsa-miR-17-19b-1,AKAP13
hsa-miR-17-19b-1,RNH1
hsa-miR-17-19b-1,CDKN1A
hsa-miR-17-19b-1,SYT11
hsa-miR-17-19b-1,WDR26
hsa-miR-17-19b-1,CASZ1
hsa-miR-17-19b-1,FNBP1
